Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
56,Tea party,298,314,373,"Large windows, the camera pans to show Gru sitting on the floor with the girls, a minion and a stuffed animal. ""Right, now, when we put our cups together, we will make the clink sound with our mouths."" he is heard and then seen saying. ""Ready?"" he asks, then turns towards Edith with his arm extended, holding a teacup. ""Edith"", he says and they touch their cups together, saying ""clink"". ""There we go, now we drink,"" Gru says, and both he and Edith drink from their cups, slurping loudly. ""And Agnes..."" he says, turning towards her, extending his arm with the cup. ""Clink"" they say, touching their cups together. Agnes drinks from the cup as Gru says, ""Very good."", raising his arm. The doorbell rings. Gru strats getting up", ,10. Tea party,Indoor,"Gru, Margo, Agnes, Edith, Minion?","Gru, Edith, Agnes, Margo","Gru, Edith, Agnes",Ballroom/living room,Long,,Y,2, +,,,,,,,
57,,314,316,393,"Gru looks down, saying ""Excuse me, girls""", ,,Indoor,Gru,Gru,Gru,Ballroom/living room,Close,,Y,2, +,,,,,,,
58,,316,317,395,"Edith, Agnes, Margo, a minion and a unicorn sitting on the floor, saying ""Aawww"" in unison.""Come on!"" Edith adds", ,,Indoor,"Edith, Agnes, Margo, Gru minion","Edith, Agnes, Margo, minion","Edith, Agnes, Margo",Ballroom/living room,"Long, bird",,Y,1, -,,,,,,,
59,,318,321,398,"Gru walks across the tea party, steps over the minion. ""Don't worry, I'll be back. Keep clinking"" he says, as he walks out of view", ,,Indoor,"Gru, Margo, Agnes, Edith, minon","Gru, Margo, Agnes, Edith",Gru,Ballroom/living room,Long,,Y,1, -,,,,,,,
60,,321,323,401,"Gru walks down the hallway, the girls can be heard saying ""Clink, clink""",,,Indoor,Gru,Gru,"Margo, Agnes, Edith",Hallway,Long,,Y,1, +,,,,,,,
61,"Answering door, Mrs. Addy",323,326,404,"Gru opens the door, makes a surprised face and says: ""Oh!... Miss Hattie""",,11. Miss Hattie ready for return,Indoor,"Gru, Miss Hatiie",Gru,Gru,Front door,Medium,,N,3, -,,,,,,,
62,,326,327,408,"Miss Hattie is standing at the door with a frown, Gru continues: ""What are you doing here?""", ,,Outdoor,"Gru, Miss Hattie",Miss Hattie,Gru,Front door,Medium,,N,3, -,,,,,,,
63,,327,331,409,"Miss Hattie is standing on the front door step, she says: ""I'm here for the girls. I received a call that you wanted to return them""", ,,Outdoor,"Gru, Miss Hattie",Miss Hattie,Miss Hattie,Front door,Long,,N,3, -,,,,,,,
64,,331,332,414,Gru looks confused,,,Indoor,Gru,Gru,-,Front door,Close,,N,3, -,,,,,,,
65,,333,338,416,"Miss Hattie pulls up a boook, saying: ""And also, I did purchase a Spanish dictionary"". She quickly raises it towards Gru's face", ,,Outdoor,"Miss Hattie, Gru",Miss Hattie,Miss Hattie,Front door,Medium,,N,4, -,,,,,,,
66,,338,341,423,Gru is slapped across the face with the book and it is psuhed into hsi chest. He holds the book, ,,Indoor,Gru,Gru,-,Front door,Close,,Y,4, -,,,,,,,
67,,341,342,426,"Miss Hattie says ""I didn't like what you said""",,12. Gru surrenders to Dr. Nefario,Outdoor,"Gru, Miss Hattie",Miss Hattie,Miss Hattie,Front door,Close,,Y,4, -,,,,,,,
68,,342,346,428,"Gru starts saying, ""But.. I.."". Behind him. Dr. Nefario steps out, loudly and repeatedly clearing his throat. Gru turns around", ,,Indoor,"Gru, Miss Hattie, Dr. Nefari",Dr. Nefario,"Gru, Dr. Nefario",Hallway,Long,,Y,3, -,,,,,,,
69,,346,347,433,Dr. Nefario puts his hands behind his back and nods,,,Indoor,Dr. Nefario,Dr. Nefario,- ,Hallway,Medium,,Y,3, -,,,,,,,
70,,347,453,434,"Gru turns around to Miss Hattie, clutching the book, saying ""Oh.."" He looks back and forth, then at Miss hattie and says: ""I will get the girls ready""", ,,Indoor,"Gru, Miss Hattie",Gru,Gru,Front door,Medium,,Y,3, -,,,,,,,
71,"Packing into car, goodbye",354,361,443,"Gru walks down the front lawn, holding the girls' suitcases and the plush unicorn. He is walking awkwardly, Agnes holding onto his right leg. Behind him, Margo and Edith are walking slowly. Miss Hattie stands waiting by a car", ,13. Returning girls,Outdoor,"Gru, Agnes, Edith, Margo, Miss Hattie",Gru,- ,Front lawn,Long,,Y,2, -,,,,,,,
72,,361,368,451,"Margo pulls Agnes off of Gru's leg, Edith crawls into the car. ""Don't let her take us Mr. Gru"", Agnes says. M", ,,Outdoor,"Agnes, Edith, Margo, Gru, Miss Hattie","Agnes, Margo",Agnes,Street,Medium,,Y,3, -,,,,,,,
73,,366,368,458,"Margo pulls Agnes into the car with her. ""Tel her you wanna keep us!"", Agnes continues.", ,,Outdoor,"Agnes, Margo, Edith",Agnes,Agnes,"Street, car",Medium,,Y,4, -,,,,,,,
74,,368,370,460,"Miss Hattie says ""Come on girls, let's go"" and puts he rhand on the car door, about to close it.", ,,Outdoor,"Miss Hattie, Gru",Miss Hattie,Mis Hattie,"Street, car",Medium,,Y,3, -,,,,,,,
75,,370,373,463,"Margo caresses Agnes head sitting in the car, she says: ""Goodby Mr. Gru, thanks for everything""", ,,Outdoor,"Margo, Agnes, Edith",Margo,Margo,Car,Medium,,Y,3, -,,,,,,,
76,,374,375,468,"Miss Hattie slams the car door, Gru stands looking in the background",,,Oudoor,"Miss Hattie, Gru","Miss Hattie, Gru",- ,"Car, street",Medium,,Y,2, -,,,,,,,
77,,376,378,470,"Margo rolls up the car window. In the window appears a reflection fo Gru's face, looking away", ,14. Sadness and leaving,Outdoor,"Margo, Agnes, Edith",Margo,-,Car,Medium,,Y,3, -,,,,,,,
78,,378,381,473,"Miss Hattie gets into the car, turns on engine",,,Outdoor,"Gru, Margo, Agnes, Edith, Miss Hattie","Miss Hattie, Gru",-,Street,Long,,Y,2, -,,,,,,,
79,,381,382,476,"The car slowly starts driving, we see the reflection fo Gru's face in the window", ,,Outdoor,"Margo, Agnes, Edith",Gru,-,Street,Medium,,Y,3, -,,,,,,,
80,,382,383,478,Shot fo Gru throught the backseat window,,,Outdoor,Gru,Gru,-,Street,Medium,,Y,3, -,,,,,,,
81,,383,388,479,Shot through the rear car window of of Gru standing on the street as the car drives away, ,,Outdoor,Gru,Gru,-,Street,Long,,Y,3, -,,,,,,,
82,,388,391,485,"Dr. Nefario is standing on the front door step, as Gru comes into the frame he says: ""I did it for your own good""", ,16. Getting back on track,Outdoor,"Dr. Nefario, Gru",Dr. Nefario,Dr. Nefario,Front door,Medium,,Y,2, -,,,,,,,
83,,391,397,489,"Gru stands on the front lawn, Dr. Nefario says ""Come on! Let's go get that moon!"", turns around and walks out of frame. Gru is silent, but looks down the street to where the car went with Miss Hattie and the girls. He looks down, then says: ""Right"", and starst walkign inside", ,,Outdoor,"Dr. Nefario, Gru",Gru,"Dr. Nefario, Gru",Front door,Medium,,Y,3, -,,,,,,,
84,,398,404,498,"Gru walks in, closes the door behind him. The camera pans to two minions (one very small) looking out the window, crying and embracing each other.", ,,"Outdoor, Indoor","Gru, two minions","Gru, minions (2)",-,Front door,Medium,,Y,2, -,,,,,,,
85,"Seperation and sorrow: Dinner alone, walking hallway, girls in boxes of shame, in bed",405,407,506,"Gru sits by a table, resting his head in his had with a solemn expression and looking at a plate of untouched food.", ,17. Separation montage,Indoor,Gru,Gru,-,Dining room,Medium,,Y,3, -,,,,,,,
86,,407,410,509,Gru moves the food around on his plate,,,Indoor,Gru,Gru,-,Dining room,Medium,,Y,3, -,,,,,,,
87,,411,412,514,Gru walks down the hallway with his arms behind his back,,,Indoor,Gru,Gru,-,Hallway,Long,,Y,2, -,,,,,,,
88,,412,414,515,"We see three minions scrubbing the childrens' drawings on the wall, one of them in a maid costume", ,,Indoor,Minions (3),Minions (3),-,Halway,Medium,,Y,3, -,,,,,,,
89,,414,415,518,Gru looks out of frame  with a faint smile,,,Indoor,Gru,Gru,-,Hallway,Medium,,Y,2, -,,,,,,,
90,,415,418,519,"Drawing of Margo, Edith, Agnes on the wall, a minion starts scrubbing it off", ,,Indoor,Minions (2),Minion,-,Hallway,Close,margo agnes edith,Y,2, -,,,,,,,
91,,418,420,523,Gru looks sad,,,Indoor,Gru,Gru,-,Hallway,Close,,Y,3, -,,,,,,,
92,,420,422,525,Margo looks out from a hole in a cardboard vox,,,Indoor,Margo,Margo,-,Orphanage office,Close,,Y,3, -,,,,,,,
93,,422,425,528,"Three cardboard bozes with Margo, Edith, Agnes in one each, looking out through each their small hole", ,,Indoor,"Margo, Edith, Agnes","Margo, Edith, Agnes",-,Orphanage office,Far,Box og SHAME; Box of SHAME #2; Box of SHAME #3,Y,4, -,,,,,,,
94,,425,428,531,"Gru lies in bed, starts feeling an object hidden under the covers",,,Indoor,Gru,Gru,-,Bedroom,Far,,Y,3, -,,,,,,,
