Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
,55,215,3:35,3:36,269,44,close up of Gru looking worried,,Indoor,"Gru, Dr. Nefario",Gru,"Gru: ""Uhh""",Corridor,short,yes,yes,3,-,,,,,,,
,56,217,3:37,3:38,271,45,close up of Gru picking up the girls' toys on the floor,,Indoor,N/A,N/A,"Gru: ""About that""",Corridor,short,yes,yes,3,-,,,,,,,
,57,219,3:39,3:42,274,46,Gru asks if they can move heist date,,Indoor,"Gru, Dr. Nefario",Gru,"Gru: ""I was thinking that maybe we could move the date of the heist.""",Corridor,medium,yes,yes,3,-,,,,,,,
,58,223,3:43,3:48,279,46,"Dr. Nefario walks after Gru as he continues picking up after the girls' toys, asking Gru if he wants to move the date because of the girls' recital",,Indoor,"Gru, Dr. Nefario",Dr. Nefario,"Dr. Nefario: ""Please tell me this is not as a result of the girls' dance recital, is it?""",Corridor,medium,yes,yes,3,-,,,,,,,
,59,229,3:49,4:04,286,46,Gru weakly denies Dr. Nefario's suspicion,,Indoor,"Gru, Dr. Nefario",Gru,"Gru: ""No no, no, nooo, the recital, that's stupid. I just think it's kinda weird to do it on a Saturday. I was thinking maybe heist is a Tuesday thing, right?""",Corridor,medium,yes,yes,3,-,,,,,,,
,60,245,4:05,4:12,306,47,Dr. Nefario gets angru and reminds Gru that stealing the moon will give him the chance to acheive his dream of becoming an infamous villain,,Indoor,Dr. Nefario,Dr. Nefario,"Dr. Nefario: ""Gru. You and I have been working on this for years. It's everything we've dreamed of, your chance to make history.""",Corridor,short,no,yes,4,-,,,,,,,
,61,253,4:13,4:16,316,48,Gru frowns,,Indoor,Gru,Gru,"Dr. Nefario: ""Become the man who stole the moon.""",Corridor,short,no,yes,3,-,,,,,,,
,62,257,4:17,4:21,321,49,Dr. Nefario becomes very animated and tells Gru that the girls are distracting him,,Indoor,Dr. Nefario,Dr. Nefario,"Dr. Nefario: ""But these girls are becoming a major distraction! They need to go.""",Corridor,short,no,yes,4,-,,,,,,,
,63,262,4:22,4:26,328,50,"Dr. Nefario says that Gru has to make the girls leave, or he'll do something instead",,Indoor,"Gru, Dr. Nefario",Dr. Nefario,"Dr. Nefario: ""If you don't do something about it, then I will.""",Corridor,medium,yes,yes,4,-,,,,,,,
,64,267,4:27,4:28,334,51,Gru says he understands,Gru agrees to do something about the girls,Indoor,"Gru, Dr. Nefario",Gru,"Gru: ""I understand.""",Corridor,medium,no,yes,3,-,,,,,,,
,65,269,4:29,4:31,336,51,Gru turns to leave,,Indoor,"Gru, Dr. Nefario",Gru,N/A,Corridor,medium,no,yes,3,-,,,,,,,
,66,272,4:32,4:34,340,52,"Dr. Nefario says ""good""",,Indoor,Dr. Nefario,Dr. Nefario,"Dr. Nefario: ""Good.""",Corridor,long,no,yes,4,-,,,,,,,
Introduction of Minions,67,275,4:35,4:38,344,53,Minions stand in front of a printer ,Introduction of the Minions,Indoor,"Stuart, Kevin, 3rd unidentifiable minion","Stuart, Kevin","Kevin laughs, ""Butt.""",Lair,medium,no,no,3,+,,,,,,,
,68,279,4:39,4:43,349,53,"Something is printed out, and the minions start laughing",,Indoor,"Stuart, Kevin, 3rd unidentifiable minion","Stuart, Kevin","Kevin laughs, ""Butt."" Stuart laughs.",Lair,medium,no,no,3,+,,,,,,,
,69,284,4:44,4:47,355,54,Minions are all laughing at something printed out,,Indoor,"Stuart, Kevin, Bob","Stuart, Kevin, Bob",Everyone laughs,Lair,long,no,no,3,+,,,,,,,
,70,288,4:48,4:50,360,54,Increased laughter ,,Indoor,"Stuart, Kevin, Bob","Stuart, Kevin, Bob",Everyone laughs,Lair,long,no,yes,4,+,,,,,,,
,71,290,4:50,4:54,363,55,"A machine pins one of the papers, showing that the paper was a picture of a butt",,Indoor,"Stuart, Kevin, Bob","Stuart, Kevin, Bob",N/A,Lair,long,no,yes,4,+,,,,,,,
,72,295,4:55,4:57,369,55,"3 minions start laughing again, breaking the tension",,Indoor,"Stuart, Kevin, Bob",Stuart,"Stuart: ""Eh, eh, eh? Pfft, butt."" Everyone laughs. ",Lair,long,no,yes,3,+,,,,,,,
Gru has a tea party with the girls,73,298,4:58,5:02,373,56,scene cut to a different room,Gru sits at a tea party with the girls and Minions,Indoor,N/A,N/A,"Gru: ""Alright, now, when we put our cups together, we will make the clink sound with our mouths.""",Living room ,long,no,yes,2,+,,,,,,,
,74,303,5:03,5:12,379,57,Gru clinks his teacup with Edith and Agnes at a pretend tea party ,,Indoor,"Gru, Edith, Margo, Agnes, Bob",Gru,"Gru: ""Ready, Edith? Clink!"" Edith: ""Clink!"" Gru: ""There we go. Now we drink. Now Agnes, clink!"" Agnes: ""Clink!""",Living room ,medium,no,yes,2,+,,,,,,,
,75,313,5:13,5:14,391,57,"The doorbell rings, interrupting the party",,Indoor,"Gru, Edith, Margo, Agnes, Bob",Gru,N/A,Living room ,medium,no,yes,2,+,,,,,,,
,76,315,5:15,5:16,394,58,Gru excuses himself from the party,,Indoor,Gru,Gru,"Gru: ""Excuse me girls.""",Living room ,short,no,yes,2,+,,,,,,,
,77,317,5:17,5:18,396,59,Everyone looks disappointed,,Indoor,"Edith, Margo, Agnes, Bob","Edith, Margo, Agnes, Bob","Everyone: ""Aww."" Edith: ""Come on!""",Living room ,medium,no,yes,2,+,,,,,,,
,78,319,5:19,5:21,399,60,Gru assures everyone he'll be back and steps out of the ring,Ms. Hattie comes to take back the girls ,Indoor,"Gru, Edith, Margo, Agnes, Bob",Gru,"Gru: ""Don't worry, I'll be back. Keep clinking!""",Living room ,medium,no,yes,2,+,,,,,,,
